BEST-LINE_NAME,BEST-LINE_COLOR,FABRIC BOOK & ROTATION,PRICE_GRADE,WIDTH/REPEAT,VENDOR,VENDOR_NAME,VENDOR_COLOR,CUT_PRICE,PIECE_PRICE,WHOLESALE_PRICE,FABRIC_TYPE,PRICING_TYPE,RELATED_OPTION_ID
Aurora,Navy,SKY            27,F,52/         V-3.875 H-3.875,Fabricut,Circle Suzani,Navy,$25.95 ,,$54.25 ,face;face-valance,yard,
Birch,Carmel,Wood,S,72/0,Newcastle,Tangiers,TA 3,,$22.81 ,$48.00 ,face;face-valance,yard,
Biscayne,Eggshell,EARTH 2    13,C,54/V-0    H-1.75,Fabricut,Drexler Stripe,Ivory,$18.30 ,,$32.00 ,face;face-valance,yard,
Coronado,Elephant,EARTH 2    57,C,54/0,Trend,2133,Elephant,$15.95 ,,$32.00 ,face;face-valance,yard,
Coronado,Flax,EARTH 2    3,C,54/0,Trend,2133,Flax,$15.95 ,,$32.00 ,face;face-valance,yard,
Cronus,Natural,EARTH 2    73,F,54/        V-4.25       H-4.375,Fabricut,Jimbu,Ivory,$35.20 ,,$54.25 ,face;face-valance,yard,
Cypress,Dune,Wood,R,72/0,Newcastle,Reeds,Wet Sand,,$16.60 ,$42.00 ,face;face-valance,yard,
Cypress,Wood,Wood,R,72/0,Newcastle,Reeds,Bermuda Sand,,$16.60 ,$42.00 ,face;face-valance,yard,
Dawson,Conch,EARTH 2       27,B,56/0,Trend,1367,Eggshell,$12.65 ,,$28.25 ,face;face-valance,yard,
Dogwood,Zebra,Wood,S,72/0,Newcastle,Java,801,,$22.81 ,$48.00 ,face;face-valance,yard,
Eucalyptus,Wheat,Wood,T,72/0,Newcastle,Oriel,CafÌ© Au Lait,,$28.22 ,$54.00 ,face;face-valance,yard,
Guadalupe,Flax,EARTH 2         53,B,54/0,Trend ,2930,Grey,$11.95 ,,$28.25 ,face;face-valance,yard,
Koa,Java,Wood,T,72/0,Newcastle,Bombay,WS 900,,$24.67 ,$54.00 ,face;face-valance,yard,
Lassen,Flax,EARTH 2           79,B,54/0,Fabricut,Cassis,Natural,$13.95 ,,$28.25 ,face;face-valance,yard,
Logan,Parchment,EARTH 2           89,B,54/0,Fabricut,Plaza,Marzipan,$13.95 ,,$28.25 ,face;face-valance,yard,
Magnolia,Bone,Wood,R,72/0,Newcastle,Sienna,2000 Parchment,,$14.06 ,$42.00 ,face;face-valance,yard,
Owen,Heather,EARTH 2                 63,B,54/            V-12             H-9,Trend,2616,Dove Gray,$12.95 ,,$28.25 ,face;face-valance,yard,
Potomac,Natural,EARTH 2           24,C,54/0,Fabricut,Debut,Linen,$17.40 ,,$32.00 ,face;face-valance,yard,
Sassafrass,Parchment,Wood,S,72/0,Newcastle,San Remo,534 White,,$22.55 ,$48.00 ,face;face-valance,yard,
Tonto,Cabernet,SKY           17,C,54/0,Fabricut,Civilized,Merlot,$15.55 ,,$32.00 ,face;face-valance,yard,
Vandy,Winter,EARTH 2         4,C,56/0,Fabricut,Shetland,Ice,$16.95 ,,$32.00 ,face;face-valance,yard,
Wallow,Porcelain,Wood,R,72/0,Newcastle,Matchstick,Sun Bleached White,,$20.90 ,$42.00 ,face;face-valance,yard,
Lion,Beige,EARTH 2             80,F,54/0,Fabricut,Albi Linen,Linen,$23.95 ,,$54.25 ,face;face-valance,yard,
